List Number	Series Number	Author	Author_English	Author_Wikidata_ID	Author_GND_ID	Title	Title_English	Work_Wikidata_ID	Work_Goodreads_ID	Work_GND_ID	Publication_Date
41		Косач Юрій Миколайович	Yuri Kosach	Q11729548	124074103	Еней і життя інших	Aeneas and the Lives of Others	Q117211593	24902164		1947
42		Костенко Ліна Василівна	Lina Kostenko	Q274302	118966448	Над берегами вічної ріки	Over the Banks of the Eternal River	Q136512348	74002218		1977
43		Котляревський Іван Петрович	Ivan Kotliarevsky	Q455246	11856577X	Енеїда	Eneida	Q1143998	7350880		1798
44		Коцюбинська Михайлина Хомівна	Mykhailyna Kotsiubynska	Q12113892	1032751312	Книга споминів	Book of Memories		74002257		2006
45		Коцюбинський Михайло Михайлович	Mykhailo Kotsiubynsky	Q2347996	118777629	Тіні забутих предків	Shadows of Forgotten Ancestors	Q12163224	21834293		1912
46		Кримський Агатангел Юхимович	Ahatanhel Krymsky	Q400122	122179463	Андрій Лаговський	Andriy Lahovskyi	Q30958100	28157146		1905
47		Куліш Микола Гурович	Mykola Kulish	Q933749	119141175	Мина Мазайло	Myna Mazailo	Q12123413	21861558		1929
48		Куліш Пантелеймон Олександрович	Panteleimon Kulish	Q2382842	119529793	Чорна рада	The Black Council	Q12170490	4753947		1857
49		Лишега Олег Богданович	Oleh Lysheha	Q7086203	1089319835	Друже Лі Бо, брате Ду Фу	Friend Li Po, Brother Tu Fu	Q12102523	19119221		2010
50		Юрій Луцький	George S. N. Luckyj	Q5544191	119031485	Роки сподівань і втрат	Years of Hopes and Losses		74002289		2004
51		Любченко Аркадій Панасович	Arkadiy Lyubchenko	Q4271965	122354877	Щоденник	Diary	Q131911744	42178890		1951
52	0	Маланюк Євген Филимонович	Yevhen Malaniuk	Q2506724	119112558	Книга спостережень	Book of Observations	Q124757864			{1962,1966}
52	1	Маланюк Євген Филимонович	Yevhen Malaniuk	Q2506724	119112558	Том 1	Vol. 1		48881482		1962
52	2	Маланюк Євген Филимонович	Yevhen Malaniuk	Q2506724	119112558	Том 2	Vol. 2		48881484		1966
53		Малкович Іван Антонович	Ivan Malkovych	Q1984735	1021025429	Все поруч	All Is Near		72591886		2011
54		Таня Малярчук	Tanya Malyarchuk	Q9357655	13601478X	Згори вниз	From Top to Bottom: A Book of Fears		13545887		2006
55		Маринович Мирослав Франкович	Myroslav Marynovych	Q6948516	1050353889	Всесвіт за колючим дротом: Спогади і роздуми дисидента	The Universe behind Barbed Wire: Memoirs of a Ukrainian Soviet Dissident	Q106756610	58073012		2016
56		Матіос Марія Василівна	Maria Matios	Q2993741	137650965	Солодка Даруся	Sweet Darusya: A Tale Of Two Villages	Q9353313	6469262	1081941111	2004
57		Мельничук Тарас Юрійович	Taras Melnychuk	Q12122510	1057735957	Князь роси	Knight of Dew		23640407		1990
58		Могильний Аттила Вікторович	Attila Mohylnyi	Q12079671	1052226647	Київські контури	Contours of the City	Q136512351	57991720		2013
59		Москалець Костянтин Вілійович	Kostiantyn Moskalets	Q16707517	1052667589	Людина на крижині: Літературна критика та есеїстика	A Man on the Ice Floe: Literary Criticism and Essays		74448012		1999
60		Неборак Віктор Володимирович	Viktor Neborak	Q4315564	1052693504	Літаюча голова	Flying Head		42093260		1990
61	0	Нестайко Всеволод Зіновійович	Vsevolod Nestayko	Q4317718	124620167	Тореадори з Васюківки	Toreadors from Vasyukivka	Q12162066	14935274		{1964,1966,1970}
61	1	Нестайко Всеволод Зіновійович	Vsevolod Nestayko	Q4317718	124620167	Пригоди Робінзона Кукурузо	The Adventures of Robinson Kukuruzo		24944319		1964
61	2	Нестайко Всеволод Зіновійович	Vsevolod Nestayko	Q4317718	124620167	Незнайомець з тринадцятої квартири	The Stranger from Apartment 13		215885133		1966
61	3	Нестайко Всеволод Зіновійович	Vsevolod Nestayko	Q4317718	124620167	Таємниця трьох невідомих	The Mystery of the Three Unknowns		55073775		1970
62		Нечуй-Левицький Іван Семенович	Ivan Nechuy-Levytsky	Q2498056	118892231	Кайдашева сім'я	Kaidash's Family	Q12107694	10661393		1879
63		Олександр Олесь	Oleksandr Oles	Q2380215	118892118	З журбою радість обнялась	Joy Embraced the Sorrow	Q117211603	75307818		1907
64		Олег Ольжич	Oleh Olzhych	Q557855	1274885523	Підзамче	Near the Castle		74068079		1946
65		Тодось Осьмачка	Todos Osmachka	Q3510684	119553139	Старший боярин	The Elder Boyar	Q56372878	42673403		1946
66		Підмогильний Валер'ян Петрович	Valerian Pidmohylny	Q1375599	11940611X	Місто	The City	Q12131636	23742897		1928
67		Плужник Євген Павлович	Yevhen Pluzhnyk	Q3887704	1033418536	Три збірки	Three Collections		67379138		1979
68		Плющ Леонід Іванович	Leonid Plyushch	Q3388872	118595113	У карнавалі історії	History's Carnival: A Dissident's Autobiography	Q136539937	2862031		1979
69		Лесь Подерв'янський	Les Podervianskyi	Q4367552	130402524	Павлік Морозов: Епічна трагедія	Pavlik Morozov	Q30958796	41269654		2005
70		Юрко Позаяк	Yurko Pozayak	Q12173072	1089299648	Шедеври	Masterpieces	Q12171568	42093222		1997
71		Прохасько Тарас Богданович	Taras Prokhasko	Q2029665	133839184	НепрОсті	The UnSimple	Q12133464	18044200		2002
72		Рильський Максим Тадейович	Maksym Rylsky	Q2638198	118793861	Під осінніми зорями	Under the Autumn Stars	Q25442400	74448046		1918
73		Римарук Ігор Миколайович	Ihor Rymaruk	Q4401982	172942667	Діва Обида	Diva Obyda		74575254		2000
74		Богдан Рубчак	Bohdan Rubchak	Q9176217	113108277X	Міти метаморфоз, або Пошуки доброго світу	Myths of Metamorphoses, or Search for a Good World	Q124757851	65936885		2012
75		Руданський Степан Васильович	Stepan Rudansky	Q3888737	121250865	Співомовки	Singing Rhymes		48882657		1921
76		Рябчук Микола Юрійович	Mykola Riabchuk	Q262328	129739871	Дилема українського Фауста: громадянське суспільство і «розбудова держави»	"Dilemma of Ukrainian Faust: Civil Society and ""Statebuilding"""		74448107		2000
77		Самчук Улас Олексійович	Ulas Samchuk	Q2379444	123186323	Марія	Maria	Q12121692	20492173		1934
78		Сверстюк Євген Олександрович	Yevhen Sverstiuk	Q4410192	119166380	Блудні сини України	Ukraine's Prodigal Sons		5032646		1993
79		Свідзінський Володимир Юхимович	Volodymyr Svidzinskyi	Q12151212	129032204	Медобір	Harvesting Honey	Q131911740	96041113		1975
80		Світличний Іван Олексійович	Ivan Svitlychnyi	Q4410349	121796841	У мене – тільки слово	I Have Only Words		73799950		1994
81		Михайль Семенко	Mykhail Semenko	Q2338609	119101610	Кобзар	Kobzar		96041171		1924
82		Сковорода Григорій Савич	Hryhorii Skovoroda	Q336803	118642456	Сад божественних пісень	The Garden of Divine Songs	Q20069640	40070923		1861
83		Скуратівський Вадим Леонтійович	Vadim Skuratovsky	Q2510615	1051747392	Історія і культура	History and Culture		42956073		1996
84		Сосюра Володимир Миколайович	Volodymyr Sosiura	Q2623762	123922615	Третя Рота	The Third Company	Q84032299	42673395		1988
85		Старицький Михайло Петрович	Mykhailo Starytsky	Q4439957	118991647	За двома зайцями	After Two Rabbits	Q12104997	26033890		1883
86		Стефаник Василь Семенович	Vasyl Stefanyk	Q2621959	11924439X	Синя книжечка	Blue Book	Q124757859	42072738		1899
87		Стус Василь Семенович	Vasyl Stus	Q426509	118757636	Палімпсести	Palimpsests	Q116733148	93097113		1986
88		Тичина Павло Григорович	Pavlo Tychyna	Q2628029	118763296	Сонячні кларнети	Clarinets of the Sun	Q12154563	18940011		1918
89		Тютюнник Григір Михайлович	Hryhir Tiutiunnyk	Q3890314	120867230	Три зозулі з поклоном	Three Gowks with a Bow	Q20096997	47473070		1976
90		Тютюнник Григорій Михайлович	Hryhoriy Tiutiunnyk	Q6689692	123556198	Вир	Vortex	Q116944234	47969430		1960
91		Леся Українка	Lesya Ukrainka	Q298033	118625160	Лісова пісня	The Forest Song	Q11816946	17341917		1912
92		Олесь Ульяненко	Oles Ulianenko	Q4333667	1011807521	Сталінка	Stalinka	Q20093490	43329058		2000
93		Франко Іван Якович	Ivan Franko	Q332462	118534920	Мойсей	Moses	Q16707309	27361744		1905
94		Микола Хвильовий	Mykola Khvylovy	Q24334	119523124	Я (Романтика)	I Am (Romance)	Q12173211	92918126		1924
95		Хоткевич Гнат Мартинович	Hnat Khotkevych	Q2592547	119397366	Камінна душа	Stone Soul	Q131911581	46918413		1911
96		Чубай Григорій Петрович	Hryhorii Chubai	Q4517344	1048593479	П'ятикнижжя	Pentateuch	Q97192410	26940457		2013
97		Шевченко Тарас Григорович	Taras Shevchenko	Q134958	118642359	Кобзар	Kobzar	Q2658157	13606012	4484946-1	1840
98		Шевчук Валерій Олександрович	Valeriy Shevchuk	Q430980	118122282	Дім на горі	The House on the Hill	Q116944233	19208250		1983
99	0	Шевельов Юрій Володимирович	George Shevelov	Q4521951	118914685	Я – менe – мені (і довкруги)	I – Myself – Me (and Surroundings)	Q131911737			2001
99	1	Шевельов Юрій Володимирович	George Shevelov	Q4521951	118914685	В Україні	Vol. 1: In Ukraine		41352269		2001
99	2	Шевельов Юрій Володимирович	George Shevelov	Q4521951	118914685	В Европi	Vol. 2: In Europe		41352286		2001
100		Ґео Шкурупій	Geo Shkurupii	Q4525374	103548126X	Двері в день	Door in Daytime	Q136512354	57284860		1929
101		Яновський Юрій Іванович	Yuriy Yanovskyi	Q928940	118875167	Майстер корабля	Master of the Ship	Q115650117	42483281		1928
