List Number	Series Number	2006 list	2008 list	2010 list	2012 list	2018 list	r/tbr/w	Title	Author	List	Original/Alt Title	Wilson score	nationality	Period	List Notes	Work_Wikidata_ID	Author_Wikidata_ID
315		2006	2008	2010	2012	2018		Of Human Bondage	Maugham, W. Somerset	1) core list		220	English	1900s		Q1195793	Q134942
316		2006						The Voyage Out	Woolf, Virginia	2) Deleted 2008		770	English	1900s		Q599198	Q40909
317		2006	2008	2010	2012	2018		The Good Soldier	Ford, Ford Madox	1) core list		802	English	1900s		Q767802	Q537112
318		2006	2008	2010	2012	2018		Rashomon	Akutagawa, Ryunosuke	1) core list		125	Japanese	1900s		Q1076912	Q186326
319		2006	2008	2010	2012	2018		Under Fire	Barbusse, Henri	1) core list		767	French	1900s		Q1167837	Q18404
320		2006	2008	2010	2012	2018		A Portrait of the Artist as a Young Man	Joyce, James	1) core list		935	Irish	1900s		Q465360	Q6882
321		2006						Bunner Sisters	Wharton, Edith	2) Deleted 2008		877	American	1900s		Q56064179	Q276032
322			2008	2010	2012	2018		The Underdogs	Azuela, Mariano	3) Added 2008	Los de abajo	885		1900s		Q3890709	Q355676
323			2008	2010	2012	2018		Pallieter	Timmermans, Felix	3) Added 2008		1261		1900s		Q21465365	Q713284
324			2008	2010	2012	2018		The Home and the World	Tagore, Rabindranath	3) Added 2008		614		1900s		Q7740074	Q7241
325		2006	2008	2010	2012	2018		Growth of the Soil	Hamsun, Knut	1) core list		199	Norwegian	1900s		Q2266122	Q40826
326		2006						Summer	Wharton, Edith	2) Deleted 2008		804	American	1900s		Q7637251	Q276032
327		2006						The Shadow Line	Conrad, Joseph	2) Deleted 2008		768	English	1900s		Q1120858	Q82925
328		2006	2008	2010	2012	2018		The Return of the Soldier	West, Rebecca	1) core list		769	English	1900s		Q7760466	Q236669
329		2006	2008	2010	2012	2018		Tarr	Lewis, Wyndham	1) core list		1245	Canadian	1900s		Q3515799	Q780102
330		2006						Night and Day	Woolf, Virginia	2) Deleted 2008		857	English	1900s		Q1610831	Q40909
331			2008	2010	2012	2018		Storm of Steel	Junger, Ernst	3) Added 2008		142		1900s		Q1660671	Q76727
332		2006	2008	2010	2012	2018		Women in Love	Lawrence, D.H.	1) core list		922	English	1900s		Q2443714	Q34970
333		2006	2008	2010	2012	2018		Main Street	Lewis, Sinclair	1) core list		762	American	1900s		Q6736091	Q123469
334		2006	2008	2010	2012	2018		The Age of Innocence	Wharton, Edith	1) core list		354	American	1900s		Q1045464	Q276032
335		2006	2008	2010	2012	2018		Crome Yellow	Huxley, Aldous	1) core list		1099	English	1900s		Q5187582	Q81447
336		2006						The Fox	Lawrence, D.H.	2) Deleted 2008		1155	English	1900s		Q7735094	Q34970
337			2008	2010	2012	2018		Life of Christ	Papini, Giovanni	3) Added 2008		1112		1900s		Q3891578	Q529858
338		2006	2008	2010	2012	2018		Ulysses	Joyce, James	1) core list		958	Irish	1900s		Q6511	Q6882
339		2006	2008	2010	2012	2018		Babbitt	Lewis, Sinclair	1) core list		902	American	1900s		Q1107000	Q123469
340		2006						Aaron’s Rod	Lawrence, D.H.	2) Deleted 2008		1286	English	1900s		Q4661765	Q34970
341		2006						The Last Days of Humanity	Kraus, Karl	2) Deleted 2008		427	Czech/Austrian	1900s		Q1218953	Q44328
342			2008	2010	2012	2018		Claudine's House	Colette	3) Added 2008		1014	French	1900s		Q3210354	Q218679
343		2006	2008	2010	2012	2018		Life and Death of Harriett Frean	Sinclair, May	1) core list		1103	English	1900s		Q19572638	Q1131497
344		2006						The Glimpses of the Moon	Wharton, Edith	2) Deleted 2008		627	American	1900s		Q30717034	Q276032
345			2008	2010	2012	2018		The Forest of the Hanged	Rebreanu, Liviu	3) Added 2008		342		1900s		Q15731603	Q462220
346		2006	2008	2010	2012	2018		Siddhartha	Hesse, Hermann	1) core list		162	German	1900s		Q457289	Q25973
347		2006						Jacob’s Room	Woolf, Virginia	2) Deleted 2008		1043	English	1900s		Q1677745	Q40909
348		2006	2008	2010	2012	2018		The Enormous Room	Cummings, E.E.	1) core list		790	American	1900s		Q2389737	Q298703
