List Number	Series Number	2006 list	2008 list	2010 list	2012 list	2018 list	r/tbr/w	Title	Author	List	Original/Alt Title	Wilson score	nationality	Period	List Notes	Work_Wikidata_ID	Author_Wikidata_ID
494		2006						Party Going	Green, Henry	2) Deleted 2008		1162	American	1900s		Q7140910	Q1285562
495		2006	2008	2010	2012	2018		Good Morning, Midnight	Rhys, Jean	1) core list		417	Dominican/English	1900s		Q5582761	Q230598
496		2006						Tropic of Capricorn	Miller, Henry	2) Deleted 2008		676	American	1900s		Q663887	Q187765
497		2006	2008	2010	2012	2018		At Swim-Two-Birds	O'Brien, Flann	1) core list		400	Irish	1900s		Q759330	Q469093
498		2006	2008	2010	2012	2018		Finnegans Wake	Joyce, James	1) core list		1002	Irish	1900s		Q6507	Q6882
499		2006	2008	2010	2012	2018		Native Son	Wright, Richard	1) core list		373	American	1900s		Q165599	Q319820
500		2006	2008	2010	2012	2018		The Tartar Steppe	Buzzati, Dino	1) core list	Il deserto dei Tartari	61	Italian	1900s		Q1216707	Q242095
501		2006	2008	2010	2012	2018		The Power and the Glory	Greene, Graham	1) core list		235	English	1900s		Q431524	Q128560
502		2006	2008	2010	2012	2018		For Whom the Bell Tolls	Hemingway, Ernest	1) core list		380	American	1900s		Q200920	Q23434
503		2006						Farewell My Lovely	Chandler, Raymond	2) Deleted 2008		82	American	1900s		Q4459778	Q180377
504		2006						The Hamlet	Faulkner, William	2) Deleted 2008		634	American	1900s		Q3223464	Q38392
505		2006						Between the Acts	Woolf, Virginia	2) Deleted 2008		934	English	1900s		Q2342630	Q40909
506		2006						Hangover Square	Hamilton, Patrick	2) Deleted 2008		133	English	1900s		Q5648081	Q1278407
507			2008	2010	2012	2018		The Man Who Loved Children	Stead, Christina	3) Added 2008		1085		1900s		Q7749958	Q441056
508			2008	2010	2012	2018		Broad and Alien is the World	Alegria, Ciro	3) Added 2008		855		1900s		Q5825857	Q468003
509		2006	2008	2010	2012	2018		The Living and the Dead	White, Patrick	1) core list		1273	English/Australian	1900s		Q7747909	Q129187
510		2006						The Poor Mouth	O'Brien, Flann	2) Deleted 2008		181	Irish	1900s		Q3776389	Q469093
511			2008	2010	2012	2018		The Harvesters	Pavese, Cesare	3) Added 2008		1101	Italian	1900s		Q3888884	Q2022
512		2006	2008	2010	2012	2018		Conversations in Sicily	Vittorini, Elio	1) core list		895	Italian	1900s		Q584423	Q468658
513		2006	2008	2010	2012	2018		The Outsider	Camus, Albert	1) core list	L'Etranger	200	Algerian/French	1900s		Q163297	Q34670
514		2006						Go Down, Moses	Faulkner, William	2) Deleted 2008		439	American	1900s		Q2065524	Q38392
515		2006	2008	2010	2012	2018		Embers	Marai, Sandor	1) core list		315	Hungarian	1900s		Q366726	Q36951
516			2008	2010	2012	2018		Chess Story	Zweig, Stefan	3) Added 2008		10		1900s		Q1513820	Q78491
517		2006	2008	2010	2012	2018		The Glass Bead Game	Hesse, Hermann	1) core list		204	German	1900s		Q836841	Q25973
518		2006						Caught	Green, Henry	2) Deleted 2008		1205	English	1900s		Q135009690	Q1285562
519			2008	2010	2012	2018		Joseph and His Brothers	Mann, Thomas	3) Added 2008		257	German	1900s		Q282181	Q37030
520		2006	2008	2010	2012	2018		The Little Prince	Saint-Exupéry, Antoine de	1) core list	Le petit prince	8	French	1900s		Q25338	Q2908
521		2006	2008	2010	2012	2018		Dangling Man	Bellow, Saul	1) core list		1049	American	1900s		Q5216182	Q83059
522		2006						Ficciones	Borges, Jorge Luis	2) Deleted 2008		2	Argentian	1900s		Q2483432	Q909
523		2006	2008	2010	2012	2018		The Razor’s Edge	Maugham, W. Somerset	1) core list		63	French/English	1900s		Q759329	Q134942
524		2006	2008	2010	2012	2018		Transit	Seghers, Anna	1) core list		917	Germany	1900s		Q1767504	Q57393
525			2008	2010	2012	2018		Pippi Longstocking	Lindgren, Astrid	3) Added 2008		72		1900s		Q2446285	Q55767
526		2006	2008	2010	2012	2018		Loving	Green, Henry	1) core list		1028	English	1900s		Q6692599	Q1285562
527		2006						The Pursuit of Love	Mitford, Nancy	2) Deleted 2008		336	English	1900s		Q3576797	Q260026
528		2006						Cannery Row	Steinbeck, John	2) Deleted 2008		150	American	1900s		Q1216542	Q39212
529		2006	2008	2010	2012	2018		Animal Farm	Orwell, George	1) core list		263	English	1900s		Q1396889	Q3335
530		2006	2008	2010	2012	2018		The Bridge on the Drina	Andrić, Ivo	1) core list		16	Bosnian	1900s		Q1247865	Q47561
531		2006	2008	2010	2012	2018		Christ Stopped at Eboli	Levi, Carlo	1) core list	Cristo si è fermato ad Eboli	192	Italian	1900s		Q1087239	Q312628
532		2006	2008	2010	2012	2018		Arcanum 17	Breton, André	1) core list		1242	French	1900s		Q2859941	Q161955
533		2006	2008	2010	2012	2018		Brideshead Revisited	Waugh, Evelyn	1) core list		254	English	1900s		Q6992413	Q107002
534			2008	2010	2012	2018		Bosnian Chronicle	Andrić, Ivo	3) Added 2008		102	Bosnian	1900s		Q824338	Q47561
535			2008	2010	2012	2018		The Tin Flute	Roy, Gabrielle	3) Added 2008		906		1900s		Q2910080	Q294999
536			2008	2010	2012	2018		Nada	Laforet, Carmen	3) Added 2008		539		1900s		Q1623656	Q269123
537			2008	2010	2012	2018		The Death of Virgil	Broch, Hermann	3) Added 2008		218		1900s		Q668105	Q84150
538		2006	2008	2010	2012	2018		Titus Groan	Peake, Mervyn	1) core list		475	English	1900s		Q7810310	Q6515
539			2008	2010	2012	2018		Zorba the Greek	Kazantzákis, Nikos	3) Added 2008		161		1900s		Q1059553	Q214622
540		2006	2008	2010	2012	2018		Back	Green, Henry	1) core list		1036	English	1900s		Q4839036	Q1285562
541			2008	2010	2012	2018		House in the Uplands	Caldwell, Erskine	3) Added 2008		1296		1900s		Q135843316	Q310464
542		2006	2008	2010	2012	2018		The Path to the Nest of Spiders	Calvino, Italo	1) core list	Il sentiero dei nidi di ragno	709	Italian	1900s		Q1135521	Q154756
543		2006	2008	2010	2012	2018		Under the Volcano	Lowry, Malcolm	1) core list		695	English	1900s		Q1570020	Q357120
544		2006	2008	2010	2012	2018		If This Is a Man	Levi, Primo	1) core list	Se questo è un uomo	11	Italian	1900s		Q836036	Q153670
545		2006	2008	2010	2012	2018		Exercises in Style	Queneau, Raymond	1) core list		149	French	1900s		Q2712266	Q218690
546		2006						The Victim	Bellow, Saul	2) Deleted 2008		1092	American	1900s		Q7772533	Q83059
547		2006	2008	2010	2012	2018		The Plague	Camus, Albert	1) core list		266	Algerian/French	1900s		Q320372	Q34670
548		2006	2008	2010	2012	2018		Doctor Faustus	Mann, Thomas	1) core list		260	German	1900s		Q386431	Q37030
549			2008	2010	2012	2018		Midaq Alley	Mahfouz, Naguib	3) Added 2008		546		1900s		Q510850	Q7176
550			2008	2010	2012	2018		Froth on the Daydream	Vian, Boris	3) Added 2008	L'Écume des jours	281		1900s		Q645906	Q7833
551			2008	2010	2012	2018		Journey to the Alcarria	Cela, Camilo Jose	3) Added 2008		1093		1900s		Q30006553	Q132589
552			2008	2010	2012	2018		Ashes and Diamonds	Andrzejewski, Jerzy	3) Added 2008		1031		1900s		Q4804888	Q347767
553		2006	2008	2010	2012	2018		Disobedience	Moravia, Alberto	1) core list	La disubbidienza	1265	Italian	1900s		Q56300457	Q161933
554		2006	2008	2010	2012	2018		All About H. Hatterr	Desani, G.V.	1) core list		779	Kenyan	1900s		Q4728502	Q1565590
555		2006	2008	2010	2012	2018		Cry, the Beloved Country	Paton, Alan	1) core list		437	S. African	1900s		Q2916551	Q361623
556		2006						The Heart of the Matter	Greene, Graham	2) Deleted 2008		252	English	1900s		Q1168936	Q128560
557			2008	2010	2012	2018		In The Heart of the Seas	Agnon, Shmuel Yosef	3) Added 2008		1287		1900s		Q6012286	Q133042
558			2008	2010	2012	2018		This Way for the Gas, Ladies and Gentlemen	Borowski, Tadeusz	3) Added 2008		100		1900s		Q545720	Q100005
559		2006	2008	2010	2012	2018		Death Sentence	Blanchot, Maurice	1) core list		796	French	1900s		Q3202367	Q315210
560		2006	2008	2010	2012	2018		Nineteen Eighty-Four	Orwell, George	1) core list		69	English	1900s		Q208460	Q3335
561		2006	2008	2010	2012	2018		The Man With the Golden Arm	Algren, Nelson	1) core list		650	American	1900s		Q3820015	Q547914
562		2006	2008	2010	2012	2018		Kingdom of This World	Carpentier, Alejo	1) core list		712	Cuban	1900s		Q579507	Q216466
563		2006	2008	2010	2012	2018		The Heat of the Day	Bowen, Elizabeth	1) core list		1180	Irish	1900s		Q7739239	Q235308
564		2006	2008	2010	2012	2018		Love in a Cold Climate	Mitford, Nancy	1) core list		611	English	1900s		Q16386787	Q260026
565		2006	2008	2010	2012	2018		The Case of Comrade Tulayev	Serge, Victor	1) core list		364	Belgium	1900s		Q135843327	Q362009
566		2006	2008	2010	2012	2018		The Garden Where the Brass Band Played	Vestdijk, Simon	1) core list	De koperen tuin	1166	Dutch	1900s		Q13571552	Q437782
567		2006	2008	2010	2012	2018		I, Robot	Asimov, Isaac	1) core list		43	American	1900s		Q393018	Q34981
568		2006	2008	2010	2012	2018		The Grass is Singing	Lessing, Doris	1) core list		533	Iranian/English	1900s		Q428339	Q40874
569		2006	2008	2010	2012	2018		A Town Like Alice	Shute, Nevil	1) core list		101	Australian	1900s		Q4660252	Q356639
570		2006	2008	2010	2012	2018		The Moon and the Bonfires	Pavese, Cesare	1) core list	La luna e i falò	630	Italian	1900s		Q3822884	Q2022
571		2006	2008	2010	2012	2018		Gormenghast	Peake, Mervyn	1) core list		367	English	1900s		Q728841	Q6515
572		2006	2008	2010	2012	2018		The 13 Clocks	Thurber, James	1) core list		193	American	1900s		Q7711755	Q124527
573		2006						The Third Man	Greene, Graham	2) Deleted 2008		508	English	1900s		Q3227851	Q128560
574		2006	2008	2010	2012	2018		The Labyrinth of Solitude	Paz, Octavio	1) core list	El Laberinto De La Soledad	77	Mexican	1900s		Q645470	Q46739
575		2006	2008	2010	2012	2018		The Abbot C	Bataille, Georges	1) core list	L'Abbé C	1201	French	1900s		Q6455485	Q207359
576			2008	2010	2012	2018		The Guiltless	Broch, Hermann	3) Added 2008		1142		1900s		Q1216079	Q84150
577			2008	2010	2012	2018		Barabbas	Lagerkvist, Par	3) Added 2008		558		1900s		Q547731	Q93137
578		2006	2008	2010	2012	2018		The End of the Affair	Greene, Graham	1) core list		277	English	1900s		Q905112	Q128560
579		2006	2008	2010	2012	2018		Molloy	Beckett, Samuel	1) core list		185	Irish	1900s		Q1971806	Q37327
580		2006	2008	2010	2012	2018		The Rebel	Camus, Albert	1) core list		97	Algerian/French	1900s		Q1195789	Q34670
581		2006	2008	2010	2012	2018		The Catcher in the Rye	Salinger, J.D.	1) core list		552	American	1900s		Q183883	Q79904
582		2006	2008	2010	2012	2018		The Opposing Shore	Gracq, Julien	1) core list		406	French	1900s		Q3226484	Q298051
583		2006	2008	2010	2012	2018		Foundation	Asimov, Isaac	1) core list		58	American	1900s		Q753894	Q34981
584		2006	2008	2010	2012	2018		Malone Dies	Beckett, Samuel	1) core list		453	Irish	1900s		Q540991	Q37327
585		2006	2008	2010	2012	2018		Day of the Triffids	Wyndham, John	1) core list		197	English	1900s		Q1216940	Q313673
586		2006	2008	2010	2012	2018		Memoirs of Hadrian	Yourcenar, Marguerite	1) core list		42	Belgium	1900s		Q1233795	Q163118
587		2006						The Killer Inside Me	Thompson, Jim	2) Deleted 2008		573	American	1900s		Q2275587	Q433800
588			2008	2010	2012	2018		The Hive	Cela, Camilo Jose	3) Added 2008	La colmena	760		1900s		Q3212510	Q132589
589		2006	2008	2010	2012	2018		Wise Blood	O'Connor, Flannery	1) core list		479	American	1900s		Q4305774	Q234579
590		2006	2008	2010	2012	2018		The Old Man and the Sea	Hemingway, Ernest	1) core list		554	American	1900s		Q26505	Q23434
591		2006	2008	2010	2012	2018		Invisible Man	Ellison, Ralph	1) core list		623	American	1900s		Q1784288	Q299965
592		2006	2008	2010	2012	2018		The Judge and His Hangman	Dürrenmatt, Friedrich	1) core list	Der Richter und sein Henker	744	Swiss	1900s		Q379015	Q23481
593			2008	2010	2012	2018		Excellent Women	Pym, Barbara	3) Added 2008		388		1900s		Q5419435	Q272585
594			2008	2010	2012	2018		A Thousand Cranes	Kawabata, Yasunari	3) Added 2008		649	Japanese	1900s		Q1132230	Q43736
595		2006	2008	2010	2012	2018		Go Tell It on the Mountain	Baldwin, James	1) core list		205	American	1900s		Q1444052	Q273210
596		2006						The Adventures of Augie March	Bellow, Saul	2) Deleted 2008		710	Canadian/American	1900s		Q1771746	Q83059
597		2006	2008	2010	2012	2018		Casino Royale	Fleming, Ian	1) core list		667	English	1900s		Q1047711	Q82104
598		2006	2008	2010	2012	2018		Junkie	Burroughs, William	1) core list	Junky	495	American	1900s		Q2306586	Q188176
599		2006	2008	2010	2012	2018		Lucky Jim	Amis, Kingsley	1) core list		625	English	1900s		Q1836777	Q220078
600			2008	2010	2012	2018		The Lost Steps	Carpentier, Alejo	3) Added 2008		464		1900s		Q3066891	Q216466
601			2008	2010	2012	2018		The Hothouse	Koeppen, Wolfgang	3) Added 2008		1255		1900s		Q1170592	Q64248
602		2006						Watt	Beckett, Samuel	2) Deleted 2008		411	Irish	1900s		Q1770069	Q37327
603		2006						The Unnamable	Beckett, Samuel	2) Deleted 2008		267	Irish	1900s		Q264451	Q37327
604		2006	2008	2010	2012	2018		The Long Goodbye	Chandler, Raymond	1) core list		53	American	1900s		Q2464542	Q180377
605		2006	2008	2010	2012	2018		The Go-Between	Hartley, L.P.	1) core list		376	English	1900s		Q4288844	Q654747
606			2008	2010	2012	2018		The Dark Child	Laye, Camara	3) Added 2008		933		1900s		Q3203042	Q1371169
607			2008	2010	2012	2018		A Day in Spring	Kosmac, Ciril	3) Added 2008		951		1900s		Q20521782	Q924983
608		2006	2008	2010	2012	2018		A Ghost at Noon (aka Contempt)	Moravia, Alberto	1) core list	Il disprezzo	473	Italian	1900s		Q3224952	Q161933
609		2006	2008	2010	2012	2018		The Story of O	Réage, Pauline	1) core list		1174	French	1900s		Q1501981	Q253288
610		2006	2008	2010	2012	2018		Under the Net	Murdoch, Iris	1) core list		672	English	1900s		Q466852	Q217495
611		2006	2008	2010	2012	2018		Lord of the Flies	Golding, William	1) core list		755	English	1900s		Q271764	Q44183
612			2008	2010	2012	2018		The Mandarins	Beauvoir, Simone de	3) Added 2008		326	French	1900s		Q1214721	Q7197
613		2006	2008	2010	2012	2018		Bonjour Tristesse	Sagan, Françoise	1) core list		853	French	1900s		Q892658	Q1646
614			2008	2010	2012	2018		Death in Rome	Koeppen, Wolfgang	3) Added 2008		819		1900s		Q1197468	Q64248
615			2008	2010	2012	2018		The Sound of Waves	Mishima, Yukio	3) Added 2008		661	Japanese	1900s		Q858331	Q134456
616			2008	2010	2012	2018		The Unknown Soldier	Linna, Vaino	3) Added 2008		308		1900s		Q1788243	Q311037
617		2006						Self Condemned	Lewis, Wyndham	2) Deleted 2008		1277	Canadian	1900s		Q135822256	Q780102
618		2006	2008	2010	2012	2018		I’m Not Stiller	Frisch, Max	1) core list		279	Swiss	1900s		Q689669	Q115483
619		2006	2008	2010	2012	2018		The Ragazzi	Pasolini, Pier Paulo	1) core list		921	Italian	1900s		Q3929379	Q25120
620		2006	2008	2010	2012	2018		The Recognitions	Gaddis, William	1) core list		310	American	1900s		Q1212808	Q456958
621			2008	2010	2012	2018		The Burning Plain	Rulfo, Juan	3) Added 2008	El Llano en llamas	50		1900s		Q1195272	Q200661
622		2006	2008	2010	2012	2018		The Quiet American	Greene, Graham	1) core list		237	English	1900s		Q1199651	Q128560
623		2006	2008	2010	2012	2018		The Trusting and the Maimed	Plunkett, James	1) core list		1300	Irish	1900s		Q135822355	Q6141341
624		2006						A World of Love	Bowen, Elizabeth	2) Deleted 2008		1251	Irish	1900s		Q4003940	Q235308
625			2008	2010	2012	2018		The Tree of Man	White, Patrick	3) Added 2008		572		1900s		Q5839903	Q129187
626		2006	2008	2010	2012	2018		The Last Temptation of Christ	Kazantzákis, Nikos	1) core list		146	Greek	1900s		Q1323860	Q214622
627			2008	2010	2012	2018		The Devil to Pay in the Backlands	Rosa, João Guimarães	3) Added 2008	Grande Sertão: Veredas	5		1900s		Q1891393	Q13012
628		2006	2008	2010	2012	2018		Lolita	Nabokov, Vladimir	1) core list		420	Russian/American	1900s		Q127149	Q36591
629		2006	2008	2010	2012	2018		The Talented Mr. Ripley	Highsmith, Patricia	1) core list		360	Swiss	1900s		Q472026	Q270635
630		2006	2008	2010	2012	2018		The Lord of the Rings	Tolkien, J.R.R.	1) core list		35	English	1900s		Q15228	Q892
631		2006	2008	2010	2012	2018		The Lonely Londoners	Selvon, Sam	1) core list		876	Trinidad/Canadian	1900s		Q7748128	Q7412589
632		2006	2008	2010	2012	2018		The Roots of Heaven	Gary, Romain	1) core list		250	Lithuanian/French	1900s		Q2896867	Q157322
633		2006	2008	2010	2012	2018		The Floating Opera	Barth, John	1) core list		576	American	1900s		Q7734487	Q315683
634		2006						Seize the Day	Bellow, Saul	2) Deleted 2008		993	American	1900s		Q2907590	Q83059
635		2006	2008	2010	2012	2018		Giovanni’s Room	Baldwin, James	1) core list		24	Canadian/American	1900s		Q5563645	Q273210
636		2006	2008	2010	2012	2018		Justine	Durrell, Lawrence	1) core list		450	Indian/French	1900s		Q2749203	Q219784
637		2006						The Wonderful “O”	Thurber, James	2) Deleted 2008		501	American	1900s		Q7775666	Q124527
638			2008	2010	2012	2018		The Glass Bees	Junger, Ernst	3) Added 2008		967		1900s		Q1532616	Q76727
639		2006	2008	2010	2012	2018		Doctor Zhivago	Pasternak, Boris	1) core list		332	Russian	1900s		Q206870	Q41223
640		2006	2008	2010	2012	2018		Pnin	Nabokov, Vladimir	1) core list		366	Russian/American	1900s		Q289815	Q36591
641		2006	2008	2010	2012	2018		On the Road	Kerouac, Jack	1) core list		897	American	1900s		Q743180	Q160534
642			2008	2010	2012	2018		The Manila Rope	Meri, Veijo	3) Added 2008	Manillaköysi	1267		1900s		Q11880758	Q543798
643			2008	2010	2012	2018		The Deadbeats	Ruyslinck, Ward	3) Added 2008		1281		1900s		Q135825159	Q2246863
644		2006	2008	2010	2012	2018		Homo Faber	Frisch, Max	1) core list		706	Swiss	1900s		Q667004	Q115483
645		2006	2008	2010	2012	2018		Blue of Noon	Bataille, Georges	1) core list		818	French	1900s		Q3220470	Q207359
646		2006	2008	2010	2012	2018		The Midwich Cuckoos	Wyndham, John	1) core list		353	English	1900s		Q905449	Q313673
647		2006	2008	2010	2012	2018		Voss	White, Patrick	1) core list		872	English/Australian	1900s		Q7942045	Q129187
648		2006	2008	2010	2012	2018		Jealousy	Robbe-Grillet, Alain	1) core list		965	French	1900s		Q1127082	Q216266
649			2008	2010	2012	2018		The Birds	Vesaas, Tarjei	3) Added 2008		196		1900s		Q1779262	Q381443
650		2006	2008	2010	2012	2018		The Once and Future King	White, T.H.	1) core list		261	Indian/Greek	1900s		Q1195086	Q453410
651		2006						The End of the Road	Barth, John	2) Deleted 2008		663	American	1900s		Q7732133	Q315683
652		2006	2008	2010	2012	2018		The Bell	Murdoch, Iris	1) core list		504	Irish/English	1900s		Q7716387	Q217495
653		2006	2008	2010	2012	2018		Borstal Boy	Behan, Brendan	1) core list		447	Irish	1900s		Q2911356	Q313063
654		2006						Mrs. ‘Arris Goes to Paris	Gallico, Paul	2) Deleted 2008		519	French	1900s		Q3797497	Q709751
655			2008	2010	2012	2018		Gabriela, Clove and Cinnamon	Amado, Jorge	3) Added 2008		159		1900s		Q140050	Q184440
656		2006	2008	2010	2012	2018		Saturday Night and Sunday Morning	Sillitoe, Alan	1) core list		583	English	1900s		Q444395	Q216398
657		2006	2008	2010	2012	2018		Things Fall Apart	Achebe, Chinua	1) core list		809	Nigerian	1900s		Q622400	Q155845
658		2006	2008	2010	2012	2018		The Bitter Glass	Dillon, Eilís	1) core list		1314	Irish	1900s		Q135825181	Q1567235
659			2008	2010	2012	2018		The Guide	Narayan, R.K.	3) Added 2008		404		1900s		Q7738453	Q334252
660		2006	2008	2010	2012	2018		The Leopard	Tomasi di Lampedusa, Giuseppe	1) core list	Il Gattopardo	269	Italian	1900s		Q1193736	Q213482
661			2008	2010	2012	2018		Deep Rivers	Arguedas, José María	3) Added 2008	Los ríos profundos	811		1900s		Q656771	Q266816
662		2006	2008	2010	2012	2018		Breakfast at Tiffany’s	Capote, Truman	1) core list		339	American	1900s		Q849930	Q134180
663		2006	2008	2010	2012	2018		Pluck the Bud and Destroy the Offspring	Oe, Kenzaburo	1) core list		628	Japanese	1900s		Q5227743	Q80095
664		2006	2008	2010	2012	2018		Billiards at Half-Past Nine	Böll, Heinrich	1) core list		451	German	1900s		Q655773	Q42747
665		2006						Memento Mori	Spark, Muriel	2) Deleted 2008		943	Scottish	1900s		Q6815201	Q233956
666		2006						Henderson the Rain King	Bellow, Saul	2) Deleted 2008		697	American	1900s		Q3795484	Q83059
667			2008	2010	2012	2018		Down Second Avenue	Mphahlele, Es'kia	3) Added 2008		1053		1900s		Q42189108	Q1372674
668		2006	2008	2010	2012	2018		Cider With Rosie	Lee, Laurie	1) core list		375	English	1900s		Q2754105	Q976071
669		2006	2008	2010	2012	2018		The Tin Drum	Grass, Günter	1) core list		454	Polish	1900s		Q899334	Q6538
670		2006	2008	2010	2012	2018		Naked Lunch	Burroughs, William	1) core list		1070	American	1900s		Q379286	Q188176
671		2006	2008	2010	2012	2018		Billy Liar	Waterhouse, Keith	1) core list		800	English	1900s		Q2747986	Q963015
672		2006	2008	2010	2012	2018		Absolute Beginners	MacInnes, Colin	1) core list		979	English	1900s		Q4669763	Q1563964
673		2006	2008	2010	2012	2018		Promise at Dawn	Gary, Romain	1) core list		31	Lithuanian/French	1900s		Q822690	Q157322
674		2006	2008	2010	2012	2018		Rabbit, Run	Updike, John	1) core list		985	American	1900s		Q178791	Q105756
675		2006	2008	2010	2012	2018		To Kill a Mockingbird	Lee, Harper	1) core list		21	American	1900s		Q212340	Q182658
676			2008	2010	2012	2018		The Magician of Lublin	Singer, Isaac Bashevis	3) Added 2008		461		1900s		Q9352340	Q75612
677			2008	2010	2012	2018		Halftime	Walser, Martin	3) Added 2008	Halbzeit	1313		1900s		Q106913793	Q57387
678		2006	2008	2010	2012	2018		The Country Girls	O'Brien, Edna	1) core list		912	Irish	1900s		Q7727791	Q178225
679		2006						Our Ancestors	Calvino, Italo	2) Deleted 2008		68	Italian	1900s		Q3791080	Q154756
680		2006						How It Is	Beckett, Samuel	2) Deleted 2008		284	Irish	1900s		Q498529	Q37327
681		2006						The Violent Bear it Away	O'Connor, Flannery	2) Deleted 2008		104	American	1900s		Q7772743	Q234579
682			2008	2010	2012	2018		Bebo's Girl	Cassola, Carlo	3) Added 2008	La ragazza di Bube	998	Italian	1900s		Q3212134	Q530655
683			2008	2010	2012	2018		God's Bits of Wood	Sembene, Ousmane	3) Added 2008		444		1900s		Q3231133	Q314966
684			2008	2010	2012	2018		The Shipyard	Onetti, Juan Carlos	3) Added 2008	El astillero	718		1900s		Q16653485	Q16873
685		2006	2008	2010	2012	2018		Catch-22	Heller, Joseph	1) core list		333	American	1900s		Q278208	Q208101
686		2006	2008	2010	2012	2018		Solaris	Lem, Stanislaw	1) core list		233	Polish	1900s		Q261281	Q6530
687		2006	2008	2010	2012	2018		Cat and Mouse	Grass, Günter	1) core list		1024	Polish	1900s		Q1736859	Q6538
688		2006	2008	2010	2012	2018		The Prime of Miss Jean Brodie	Spark, Muriel	1) core list		616	Scottish	1900s		Q2074335	Q233956
689		2006	2008	2010	2012	2018		A Severed Head	Murdoch, Iris	1) core list		756	English	1900s		Q4659428	Q217495
690		2006	2008	2010	2012	2018		Franny and Zooey	Salinger, J.D.	1) core list		223	American	1900s		Q1445395	Q79904
691			2008	2010	2012	2018		No One Writes to the Colonel	García Márquez, Gabriel	3) Added 2008		435		1900s		Q1132408	Q5878
692		2006	2008	2010	2012	2018		Faces in the Water	Frame, Janet	1) core list		299	New Zealand	1900s		Q42184657	Q241215
693			2008	2010	2012	2018		Memoirs of a Peasant Boy	Neira Vilas, Xosé	3) Added 2008		591		1900s		Q11692035	Q3322486
694		2006	2008	2010	2012	2018		Stranger in a Strange Land	Heinlein, Robert	1) core list		478		1900s		Q929821	Q123078
695		2006	2008	2010	2012	2018		The Garden of the Finzi-Continis	Bassani, Giorgio	1) core list	Il giardino dei Finzi-Contini	617	Italian	1900s		Q533391	Q318309
696		2006	2008	2010	2012	2018		Girl With Green Eyes	O'Brien, Edna	1) core list		954	Irish	1900s		Q126938858	Q178225
697		2006	2008	2010	2012	2018		Labyrinths	Borges, Jorge Luis	1) core list		4	Argentian/Swiss	1900s		Q6467743	Q909
698		2006	2008	2010	2012	2018		The Golden Notebook	Lessing, Doris	1) core list		882		1900s		Q784986	Q40874
699		2006						The Drowned World	Ballard, J.G.	2) Deleted 2008		1040		1900s		Q2519711	Q140201
700			2008	2010	2012	2018		Time of Silence	Martín-Santos, Luis	3) Added 2008		828		1900s		Q3311083	Q1381427
701		2006	2008	2010	2012	2018		Pale Fire	Nabokov, Vladimir	1) core list		83	Russian/American	1900s		Q1229792	Q36591
702		2006	2008	2010	2012	2018		A Clockwork Orange	Burgess, Anthony	1) core list		208	English	1900s		Q692557	Q217619
703		2006	2008	2010	2012	2018		One Flew Over the Cuckoo’s Nest	Kesey, Ken	1) core list		52	American	1900s		Q857313	Q244390
704		2006						The Collector	Fowles, John	2) Deleted 2008		245	English	1900s		Q1196602	Q214660
705			2008	2010	2012	2018		The Death of Artemio Cruz	Fuentes, Carlos	3) Added 2008		538		1900s		Q2030203	Q154691
706			2008	2010	2012	2018		The Time of the Hero	Vargas Llosa, Mario	3) Added 2008	La ciudad y los perros	164	Peruvian	1900s		Q763199	Q39803
707		2006	2008	2010	2012	2018		One Day in the Life of Ivan Denisovich	Solzhenitsyn, Aleksandr	1) core list		258	Russian	1900s		Q27321	Q34474
708			2008	2010	2012	2018		The Third Wedding	Taktsis, Costas	3) Added 2008		141		1900s		Q42196465	Q3201193
709			2008	2010	2012	2018		Dog Years	Grass, Günter	3) Added 2008		893	Polish	1900s		Q499564	Q6538
710		2006	2008	2010	2012	2018		The Bell Jar	Plath, Sylvia	1) core list		226	American	1900s		Q1213085	Q133054
711		2006	2008	2010	2012	2018		Inside Mr. Enderby	Burgess, Anthony	1) core list		968	English	1900s		Q4296506	Q217619
712		2006	2008	2010	2012	2018		The Girls of Slender Means	Spark, Muriel	1) core list		898	Scottish	1900s		Q716712	Q233956
713		2006	2008	2010	2012	2018		The Spy Who Came in from the Cold	Le Carré, John	1) core list		131	English	1900s		Q468071	Q209641
714		2006	2008	2010	2012	2018		Manon des Sources	Pagnol, Marcel	1) core list		168	French	1900s		Q3286482	Q236630
715		2006	2008	2010	2012	2018		The Graduate	Webb, Charles	1) core list		1135	American	1900s		Q6725109	Q1066407
716		2006	2008	2010	2012	2018		Cat's Cradle	Vonnegut, Kurt	1) core list		67	American	1900s		Q41359	Q49074
717		2006	2008	2010	2012	2018		V.	Pynchon, Thomas	1) core list		507	American	1900s		Q1191071	Q35155
718		2006	2008	2010	2012	2018		Herzog	Bellow, Saul	1) core list		702	Canadian/American	1900s		Q1424503	Q83059
719		2006	2008	2010	2012	2018		The Ravishing of Lol V. Stein	Duras, Marguerite	1) core list		911	French	1900s		Q2717178	Q153248
720		2006	2008	2010	2012	2018		Arrow of God	Achebe, Chinua	1) core list		626	Nigerian	1900s		Q4796152	Q155845
721		2006						Albert Angelo	Johnson, B.S.	2) Deleted 2008		693	English	1900s		Q4709639	Q795238
722		2006						Come Back, Dr. Caligari	Barthelme, Donald	2) Deleted 2008		638	American	1900s		Q135759263	Q353869
