List Number	Series Number	Author	Author2	Author_Wikidata_ID	Author_GND_ID	Title	Title2	Work_Wikidata_ID	Goodreads work ID	GND ID	Publication_Date
51		Shmuel Yosef Agnon	Shmuel Yosef Agnon	Q133042	118501038	Only Yesterday	Only Yesterday		190716		1945
52		J. D. Salinger	J. D. Salinger	Q79904	118605054	The Catcher in the Rye	The Catcher in the Rye	Q183883	3036731	4120008-1	1951
53		Ernest Hemingway	Ernest Hemingway	Q23434	118549030	The Sun Also Rises	The Sun Also Rises	Q501351	589497	4254325-3	1926
54		Wislawa Szymborska	Wisława Szymborska	Q42552	119449048	The End And The Beginning	The End and the Beginning	Q28674700			1993
55		Allen Ginsberg	Allen Ginsberg	Q6711	11853940X	Howl, Kaddish And Other Poems	Howl and Other Poems	Q5922194	2290688		1956
56		Yaakov Shabtai	Yaakov Shabtai	Q2916906	12056601X	Past Continuous	Past Continuous	Q12407233			1977
57		Clarice Lispector	Clarice Lispector	Q235955	118780158	The Complete Stories	The Complete Stories	Q28678006	42924782		2016
58		Stefan Zweig	Stefan Zweig	Q78491	118637479	The World Of Yesterday	The World of Yesterday	Q1217507	615762	4436762-4	1942
59		Franz Kafka	Franz Kafka	Q905	118559230	The Castle	The Castle	Q682733	17778410	4099251-2	1926
60	0	Samuel Beckett	Samuel Beckett	Q37327	118508172	The Beckett Trilogy	The Beckett Trilogy		75749		1951-1953
60	1	Samuel Beckett	Samuel Beckett	Q37327	118508172	Molloy	Molloy	Q1971806	2204679		1951
60	2	Samuel Beckett	Samuel Beckett	Q37327	118508172	Malone Dies	Malone Dies	Q540991	3198398		1951
60	3	Samuel Beckett	Samuel Beckett	Q37327	118508172	The Unnamable	The Unnamable	Q264451	2788963		1953
61		Sigmund Freud	Sigmund Freud	Q9215	118535315	Beyond the Pleasure Principle	Beyond the Pleasure Principle	Q466271	42481725	4203384-6	1920
62	0	Karl Ove Knausgård	Karl Ove Knausgård	Q609317	133516512	My Struggle	My Struggle	Q16325203		1092209743	2009
63		Kazuo Ishiguro	Kazuo Ishiguro	Q272855	119484978	Never Let Me Go	Never Let Me Go	Q951587	1499998	7705755-7	2005
64		Allen Ginsberg	Allen Ginsberg	Q6711	11853940X	Howl and Other Poems	Howl and Other Poems	Q5922194	2290688		1956
65		Flannery O'Connor	Flannery O'Connor	Q234579	11858930X	A Good Man Is Hard to Find	A Good Man Is Hard to Find	Q4500130			1953
66		Raymond Carver	Raymond Carver	Q219862	118853627	A Small, Good Thing	A Small, Good Thing	Q20040309			1981
67		Isaac Bashevis Singer	Isaac Bashevis Singer	Q75612	118614649	The Family Moskat	The Family Moskat	Q3822249			1950
68		Nathan Alterman	Nathan Alterman	Q1340536	118936093	Stars Outside	Stars Outside				
69		John Steinbeck	John Steinbeck	Q39212	118617338	Of Mice and Men	Of Mice and Men	Q457977	40283	4316771-8	1937
70		Margaret Atwood	Margaret Atwood	Q183492	118646168	Cat's Eye	Cat's Eye	Q1736876	1019987		1988
71		Sigmund Freud	Sigmund Freud	Q9215	118535315	The Interpretation of Dreams	The Interpretation of Dreams	Q726382	1758256	4280500-4	1899
72		Natalia Ginzburg	Natalia Ginzburg	Q275985	118539426	Happiness, as Such	Happiness, as Such		768525		1973
73		Chinghiz Aitmatov	Chinghiz Aitmatov	Q484292	118501259	The Day Lasts More Than A Hundred Years	The Day Lasts More Than a Hundred Years	Q2573255	590777		1980
74		William Faulkner	William Faulkner	Q38392	118532081	Absalom, Absalom!	Absalom, Absalom!	Q2181982	1595511	4113528-3	1936
75		Doris May Lessing	Doris Lessing	Q40874	118572113	The Golden Notebook	The Golden Notebook	Q784986	99441	4099289-5	1962
76		Dalia Rabikovitch	Dahlia Ravikovitch	Q469249	129596817	Collected Poems	Collected Poems				2009
77		Hannah Arendt	Hannah Arendt	Q60025	11850391X	The Human Condition	The Human Condition	Q2006866			1958
78		Zadie Smith	Zadie Smith	Q140052	122702506	White Teeth	White Teeth	Q866980	7480	4717417-1	2000
79		Vladimir Nabokov	Vladimir Nabokov	Q36591	118586114	Pnin	Pnin	Q289815	1153252	4519017-3	1957
80		Anne Frank	Anne Frank	Q4583	118534734	The Diary of a Young Girl	Diary of Anne Frank	Q6911	3532896	4198214-9	1947
81		W. G. Sebald	W. G. Sebald	Q76952	119310007	Austerlitz	Austerlitz	Q473389	2193696	4792721-5	2001
82		Margaret Atwood	Margaret Atwood	Q183492	118646168	The Handmaid's Tale	The Handmaid's Tale	Q1541914	1119185	4460070-7	1985
83		Olga Tokarczuk	Olga Tokarczuk	Q254032	122302885	Drive Your Plow Over the Bones of the Dead	Drive Your Plow Over the Bones of the Dead	Q11827997		1203387377	2009
84		Albert Camus	Albert Camus	Q34670	118518739	The Plague	The Plague	Q320372	2058116	4131560-1	1947
85		Edith Wharton	Edith Wharton	Q276032	118767585	The Age of Innocence	The Age of Innocence	Q1045464	1959512	4466782-6	1920
86		Viktor Frankl	Viktor Frankl	Q154723	118534904	Man's Search for Meaning	Man's Search for Meaning		3389674		1946
87		Ian McEwan	Ian McEwan	Q190379	119252694	Atonement	Atonement	Q306619	2307233	4802066-7	2001
88		J. M. Coetzee	J. M. Coetzee	Q43293	118895117	Waiting for the Barbarians	Waiting for the Barbarians	Q1565837	1155689	4409664-1	1980
89		Primo Levi	Primo Levi	Q153670	118572326	The Periodic Table	The Periodic Table	Q2249636	1533977		1975
90		Kazuo Ishiguro	Kazuo Ishiguro	Q272855	119484978	The Remains of the Day	The Remains of the Day	Q829934	3333111	4465587-3	1989
91		J. R. R. Tolkien	J. R. R. Tolkien	Q892	118623222	The Lord of the Rings	The Lord of the Rings	Q15228	3462456	4124318-3	1954
92		Jack Kerouac	Jack Kerouac	Q160534	118561561	On the Road	On the Road	Q743180	1701188	4398329-7	1957
93		Hannah Arendt	Hannah Arendt	Q60025	11850391X	The Origins of Totalitarianism	The Origins of Totalitarianism	Q1327843	23497	4723544-5	1951
94		Stanislaw Lem	Stanisław Lem	Q6530	118571419	Solaris	Solaris	Q261281	3333881	4380213-8	1961
95		Roberto Bolaño	Roberto Bolaño	Q297532	120894076	The Savage Detectives	The Savage Detectives	Q898056	2503920		1998
96		Erich Maria Remarque	Erich Maria Remarque	Q47293	118599631	All Quiet on the Western Front	All Quiet on the Western Front	Q207332	2662852	4255329-5	1928
97		Czesław Miłosz	Czesław Miłosz	Q45970	118733974	Daylight	Daylight			57663253	1975
98		Flannery O'Connor	Flannery O'Connor	Q234579	11858930X	Everything That Rises Must Converge	Everything That Rises Must Converge	Q5418095	963076		1965
99		Natalia Ginzburg	Natalia Ginzburg	Q275985	118539426	That's How It Was	That's How It Was				
100		Orly Castel-Bloom	Orly Castel-Bloom	Q446980	120142961	Dolly City	Dolly city	Q12405755	524066		1992
