List Number	Author	Author Wikidata ID	Author GND ID	Title	Subtitle	Pages	Publication Date	Date of first performance	Location of first performance	Work Wikidata ID	Work Goodreads ID	Work GND ID	DraCor ID
50	Christian Fürchtegott Gellert	http://www.wikidata.org/entity/Q60584	https://d-nb.info/gnd/118538322	Die zärtlichen Schwestern	Ein Lustspiel	65–66	1747	1747	Leipzig	http://www.wikidata.org/entity/Q1219978		https://d-nb.info/gnd/1216592136	https://dracor.org/id/ger000326
51	Otto Heinrich von Gemmingen-Hornberg	http://www.wikidata.org/entity/Q215771	https://d-nb.info/gnd/118716778	Die Erbschaft	Ein Schauspiel in drei Aufzügen	67–68	1779						
52	Otto Heinrich von Gemmingen-Hornberg	http://www.wikidata.org/entity/Q215771	https://d-nb.info/gnd/118716778	Der teutsche Hausvater oder die Familie		68–70	1780	1780	München	http://www.wikidata.org/entity/Q52895487		https://d-nb.info/gnd/1215366388	https://dracor.org/id/ger000189
53	Heinrich Wilhelm von Gerstenberg	http://www.wikidata.org/entity/Q77488	https://d-nb.info/gnd/118690949	Ugolino	Eine Tragoedie, in fünf Aufzügen	70–72	1768	1769-06-22	Berlin				
54	Johann Wilhelm Ludwig Gleim	http://www.wikidata.org/entity/Q64364	https://d-nb.info/gnd/118717758	Der Blöde Schäfer	Ein Lustspiel	72–73	1745	1744	Breslau				
55	Johann Wilhelm Ludwig Gleim	http://www.wikidata.org/entity/Q64364	https://d-nb.info/gnd/118717758	Philotas	Ein Trauerspiel	74–75	1760			http://www.wikidata.org/entity/Q6074342		https://d-nb.info/gnd/4079168-3	https://dracor.org/id/ger000194
56	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Die Aufgeregten	Politisches Drama in fünf Akten	75–76	1817			http://www.wikidata.org/entity/Q41737583			
57	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Der Bürgergeneral	Ein Lustspiel in einem Aufzuge	76–77	1793	1793-05-02	Weimar	http://www.wikidata.org/entity/Q1192735	https://www.goodreads.com/work/editions/22312359	https://d-nb.info/gnd/1217216731	https://dracor.org/id/ger000106
58	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Clavigo	Ein Trauerspiel	77–78	1774	1774-08-23	Augsburg	http://www.wikidata.org/entity/Q466752	https://www.goodreads.com/work/editions/1830214	https://d-nb.info/gnd/4280631-8	https://dracor.org/id/ger000157
59	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Egmont	Ein Trauerspiel	78–80	1788	1791-03-31	Weimar	http://www.wikidata.org/entity/Q1298242	https://www.goodreads.com/work/editions/426802	https://d-nb.info/gnd/4191697-9	https://dracor.org/id/ger000442
60	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Ein Fastnachtsspiel (…) vom Pater Brey		80–81	1774	1773-05-01	Darmstadt	http://www.wikidata.org/entity/Q1304484			
61	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Elpenor	Ein Schauspiel	81–82	1806						
62	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Goethes Faust in ursprünglicher Gestalt		82–83	1887	1912-05-02	Weimar				
63	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Götter, Helden und Wieland	Eine Farce	83–84	1774			http://www.wikidata.org/entity/Q1559765		https://d-nb.info/gnd/1216905916	https://dracor.org/id/ger000409
64	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Götz von Berlichingen mit der eisernen Hand	Ein Schauspiel	84–86	1773	1774-04-14	Berlin				
65	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Der Groß-Cophta	Ein Lustspiel in fünf Aufzügen	86–88	1792	1791-12-17	Weimar	http://www.wikidata.org/entity/Q1194014		https://d-nb.info/gnd/4359869-9	https://dracor.org/id/ger000198
66	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Hanswursts Hochzeit oder der Lauf der Welt	Ein mikroskopisches Drama, verfasst 1775	88–89	1836						
67	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Iphigenie auf Tauris	Ein Schauspiel	89–90	1787	1779-04-06	Ettersburg				
68	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Jahrmarktsfest zu Plundersweilern	Ein Schönbartsspiel	90–91	1774	1778-10-20	Ettersburg	http://www.wikidata.org/entity/Q1678697		https://d-nb.info/gnd/4586437-8	https://dracor.org/id/ger000536
69	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Proserpina	Ein Monodrama	92–93	1778	1778-01-30	Weimar				
70	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Satyros oder der vergötterte Waldteufel	Drama, verfasst 1770	93–94	1817			http://www.wikidata.org/entity/Q19226867		https://d-nb.info/gnd/4432953-2	https://dracor.org/id/ger000388
71	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Stella	Ein Schauspiel für Liebende in fünf Akten	94–95	1776	1776-02-08	Hamburg				
72	Johann Wolfgang von Goethe	http://www.wikidata.org/entity/Q5879	https://d-nb.info/gnd/118540238	Torquato Tasso	Ein Schauspiel	95–96	1790	1807-02-16	Weimar				
73	Friedrich Wilhelm Gotter	http://www.wikidata.org/entity/Q70356	https://d-nb.info/gnd/118540939	Die Erbschleicher	Ein Lustspiel in fünf Akten	97	1789	1788-05-04	Mannheim	http://www.wikidata.org/entity/Q119458026			https://dracor.org/id/ger000620
74	Friedrich Wilhelm Gotter	http://www.wikidata.org/entity/Q70356	https://d-nb.info/gnd/118540939	Mariane	Ein bürgerliches Trauerspiel in drey Aufzügen	98	1776	1775-12-06	Gotha	http://www.wikidata.org/entity/Q131764259	https://www.goodreads.com/work/editions/68894323	https://d-nb.info/gnd/129444378X	
75	Friedrich Wilhelm Gotter	http://www.wikidata.org/entity/Q70356	https://d-nb.info/gnd/118540939	Merope	Ein Trauerspiel in fünf Aufzügen	99	1774	1773-10-27	Weimar				
76	Johann Christoph Gottsched	http://www.wikidata.org/entity/Q76442	https://d-nb.info/gnd/118541013	Agis, König zu Sparta	Ein Trauerspiel	100–101	1745	1751	Wien				
