List Number	Series Number	Author	Author Wikidata ID	Author GND ID	Title	Work Wikidata ID	Work Goodreads ID	Work GND ID	Publication Date
61		Colum McCann	Q966228	118127195	Apeirogon	Q93349315	71466820	1220055905	2020
62		David Van Reybrouck	Q2490392	140963758	Kongo. Eine Geschichte	Q2540097	13073122		2010
63		Dževad Karahasan	Q700600	115433368	Der nächtliche Rat	Q17998881	19195278	7664847-3	2005
64		Ramita Navai	Q7289644	1105656683	Stadt der Lügen	Q116973697	40864289	1132225620	2014
65		Caroline Criado-Perez	Q14945692	1179396731	Unsichtbare Frauen	Q106771034	64218580	1236592328	2019
66		Jürgen Osterhammel	Q92287	115426833	Die Verwandlung der Welt. Eine Geschichte des 19. Jahrhunderts	Q97219963	6587618	1189743663	2009
67		Georgi Gospodinov	Q1509177	130098841	Zeitzuflucht	Q118799669	80554438	1297842766	2020
68		Sibylle Lewitscharoff	Q125484	120360721	Blumenberg	Q16830667	17367115	1029517061	2011
69		Joan Didion	Q267691	118884131	Das Jahr magischen Denkens	Q993664	1659905	1195541538	2005
70		Amos Oz	Q151872	118855379	Eine Geschichte von Liebe und Finsternis	Q1124669	28189	120921346X	2002
71		Edward Snowden	Q13424289	104933289X	Permanent Record	Q66061138	71198843		2019
72		Eva Illouz	Q48868	128446560	Warum Liebe weh tut	Q131625377	18446748		2011
73		Khaled Khalifa	Q5907634	1012675300	Der Tod ist ein mühseliges Geschäft	Q96418297	59526551	1200063481	2016
74		Daniela Krien	Q1163456	1015540678	Mein drittes Leben	Q131620077	219287187	1349633550	2024
75		Herfried Münkler	Q108088	120023482	Der Dreissigjährige Krieg	Q131621477	58163017		2017
76		George Packer	Q5543155	142987891	Die Abwicklung	Q15730753	23542001		2013
77		Wolf Biermann	Q323063	118510789	Warte nicht auf bessre Zeiten!	Q131621552	53090560	1119359074	2016
78		Amartya Sen	Q132489	119290367	Zuhause in der Welt. Erinnerungen	Q116264446	86098763		2021
79		Carlo Rovelli	Q1042470	118023772	Weisse Löcher. Ein neues Bild des Universums	Q131621516	144363802	1312642955	2023
80		Bachtyar Ali	Q4121779	1102375829	Der letzte Granatapfel	Q25424652	19126104	1141066963	2002
81		Pedro Lenz	Q117851	129230227	Der Goalie bin ig	Q131621606	13203600	1115751395	2010
82		Hanya Yanagihara	Q20902324	1076098886	Ein wenig Leben	Q20709044	42375710	1136388494	2015
83		Daniel Kehlmann	Q57477	115812431	Tyll	Q47494332	57727239	1141206803	2017
84		Virginie Despentes	Q295015	121099245	Das Leben des Vernon Subutex	Q55600140	73725842	1143543106	{2015,2015,2017}
85		Ayelet Gundar-Goshen	Q18120294	1041792050	Löwen wecken	Q131621660	42277011	1103467794	2014
86		Olga Grjasnowa	Q106083	1019509430	Der Russe ist einer, der Birken liebt	Q18448546	18539608	1080316868	2012
87		Reinhard Kaiser-Mühlecker	Q2140771	136900666	Brennende Felder	Q131621703	217809275		2024
88		Julie Otsuka	Q275602	1024157881	Wovon wir träumten	Q16537236	15369956		2011
89		Liao Yiwu	Q708187	12998521X	Fräulein Hallo und der Bauernkaiser	Q131621767	2906923		2001
90		Barbara Kingsolver	Q1264643	118013874	Demon Copperhead	Q115526836	94935539		2022
91		Kazuo Ishiguro	Q272855	119484978	Alles, was wir geben mussten	Q951587	1499998	7705755-7	2005
92		Fabio Andina	Q131620125	1112755012	Tage mit Felice	Q131622495	68727260	1216178151	2018
93		John Burnside	Q977057	131962965	Die Spur des Teufels	Q131621954	1589468		2007
94		Naomi Alderman	Q6964613	132588331	Die Gabe	Q28135786	50108451	1184952361	2016
95		Pirkko Saisio	Q465950	132247135	Das kleinste gemeinsame Vielfache	Q131621972	1161991		1998
96		Saša Stanišić	Q77319	132082179	Herkunft	Q89189056	68990636	1181119561	2019
97		Stephen Greenblatt	Q639065	119517744	Die Geschichte von Adam und Eva	Q48813740	54025960	1172404402	2017
98		Percival Everett	Q3375158	140948287	James	Q126679110	181379063		2024
99		Michael Fehr	Q19840733	1032683732	Simeliberg	Q131622382	44724237	1166188345	2015
100		Imre Kertész	Q47755	119204290	Letzte Einkehr. Ein Tagebuchroman	Q131444040	26531424		2014
